words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean
數字,45,8.0,62.06666666666667,1.0,5.844444444444444,0.0,4.4
數學,15,54.0,193.26666666666668,6.0,14.933333333333334,0.0,1.8666666666666667
數據,126,9.0,48.41269841269841,0.0,3.1587301587301586,0.0,2.261904761904762
數的,13,2.0,5.846153846153846,0.0,0.5384615384615384,0.0,0.0
數量,163,0.0,11.791411042944786,0.0,1.7423312883435582,0.0,0.1656441717791411
文件,21,9.0,17.476190476190474,0.0,3.4761904761904763,0.0,0.3333333333333333
文創,27,3.0,4.888888888888889,0.0,0.2222222222222222,0.0,0.4074074074074074
文化,88,5.0,16.943181818181817,0.0,2.1704545454545454,0.0,0.48863636363636365
文博會,15,22.0,43.8,0.0,3.8,1.0,4.133333333333334
文字,73,11.0,99.05479452054794,1.0,5.3561643835616435,0.0,10.849315068493151
文山,17,12.0,17.176470588235293,1.0,4.117647058823529,0.0,0.5294117647058824
文案,99,9.0,68.17171717171718,1.0,7.848484848484849,0.0,4.202020202020202
斗篷,12,8.0,7.25,0.0,0.6666666666666666,0.0,0.0
料理,16,8.0,10.125,0.0,1.25,0.0,0.0
斜槓,80,5.5,26.675,1.0,17.7375,0.0,0.275
新人,18,9.0,39.27777777777778,0.0,2.8333333333333335,0.0,0.2777777777777778
新創,45,6.0,103.26666666666667,0.0,5.311111111111111,0.0,1.1555555555555554
新加坡,16,8.0,26.1875,1.5,9.5,0.0,0.125
新北,20,6.0,11.85,0.0,2.5,0.0,0.25
新品,254,0.0,13.05511811023622,0.0,1.3700787401574803,0.0,0.421259842519685
新增,21,7.0,19.047619047619047,0.0,7.666666666666667,0.0,0.38095238095238093
新客,10,12.0,59.8,0.5,5.5,0.0,0.8
新年,93,10.0,19.0752688172043,0.0,5.612903225806452,0.0,0.3010752688172043
新手,78,8.0,21.21794871794872,1.0,11.333333333333334,0.0,0.5
新款,24,3.0,20.333333333333332,0.0,0.9583333333333334,0.0,0.5416666666666666
新生,11,1.0,2.5454545454545454,0.0,0.18181818181818182,0.0,0.0
新產品,15,27.0,52.0,1.0,13.933333333333334,0.0,0.6666666666666666
新竹,10,9.5,9.5,1.0,2.6,0.0,0.2
新美業,17,3.0,4.176470588235294,0.0,1.588235294117647,0.0,0.0
新聞,19,15.0,234.6315789473684,1.0,7.7894736842105265,0.0,3.6842105263157894
新鮮,25,5.0,39.56,1.0,3.04,0.0,0.72
方便,65,10.0,68.9076923076923,0.0,6.3538461538461535,0.0,1.6615384615384616
方向,209,12.0,48.78468899521531,1.0,4.626794258373206,0.0,2.1770334928229667
方案,70,9.5,64.38571428571429,0.0,7.957142857142857,0.0,4.357142857142857
方法,243,12.0,58.90946502057613,1.0,7.662551440329218,0.0,1.617283950617284
方面,30,13.0,22.1,0.0,6.166666666666667,0.0,0.7
旁邊,32,16.0,342.875,0.0,15.0625,0.0,10.28125
旅居,21,27.0,27.80952380952381,3.0,4.238095238095238,0.0,0.38095238095238093
旅程,32,9.0,28.84375,1.0,1.78125,0.0,0.34375
旅行,77,9.0,35.48051948051948,1.0,4.909090909090909,0.0,0.4935064935064935
旅遊,38,23.5,53.18421052631579,1.0,5.2368421052631575,0.0,0.8157894736842105
