words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators,frequency,quadrant
創業,135,7.0,22.71851851851852,2.0,17.94074074074074,0.0,0.14074074074074075,19,135,Star (明星詞)
創業者,12,2.5,9.0,0.0,1.75,0.0,0.16666666666666666,4,12,Blue Ocean (藍海詞)
功能,11,3.0,9.545454545454545,0.0,6.7272727272727275,0.0,0.45454545454545453,4,11,Blue Ocean (藍海詞)
加入,13,4.0,25.46153846153846,1.0,10.461538461538462,0.0,0.38461538461538464,7,13,Blue Ocean (藍海詞)
加油,26,20.5,33.26923076923077,30.0,45.61538461538461,0.0,0.23076923076923078,10,26,Star (明星詞)
加絨,18,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,2,18,Red Ocean (紅海詞)
努力,61,3.0,13.950819672131148,0.0,7.278688524590164,0.0,0.08196721311475409,13,61,Star (明星詞)
協助,11,1.0,1.0909090909090908,0.0,0.45454545454545453,0.0,0.09090909090909091,3,11,Avoid (避開)
卡卡,10,19.0,36.1,0.0,3.1,0.0,1.0,2,10,Blue Ocean (藍海詞)
卡牌,11,54.0,60.36363636363637,3.0,13.818181818181818,1.0,2.090909090909091,1,11,Blue Ocean (藍海詞)
原因,13,8.0,14.538461538461538,1.0,4.0,0.0,0.3076923076923077,7,13,Blue Ocean (藍海詞)
取貨,32,0.0,0.625,0.0,0.09375,0.0,0.0,3,32,Red Ocean (紅海詞)
受眾,10,4.5,4.3,1.0,1.0,0.0,0.0,3,10,Blue Ocean (藍海詞)
可線,10,0.0,0.2,0.0,0.0,0.0,0.0,1,10,Avoid (避開)
可貨到,10,0.0,0.2,0.0,0.0,0.0,0.0,1,10,Avoid (避開)
台北,12,3.0,4.083333333333333,0.0,0.3333333333333333,0.0,0.0,6,12,Blue Ocean (藍海詞)
台南,32,4.0,5.09375,0.0,2.78125,0.0,0.0,2,32,Star (明星詞)
