words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators
接受,11,32.0,157.8181818181818,3.0,11.909090909090908,0.0,4.181818181818182,6
接案,53,20.0,23.943396226415093,4.0,6.2075471698113205,0.0,1.0,8
接著,10,58.0,201.8,4.5,26.6,0.5,1.0,4
控制,12,9.5,17.416666666666668,0.0,1.3333333333333333,0.0,0.16666666666666666,7
推出,25,10.0,42.84,1.0,8.68,0.0,1.2,9
推薦,65,8.0,16.584615384615386,1.0,6.8307692307692305,0.0,0.16923076923076924,21
描述,11,19.0,26.181818181818183,2.0,4.0,0.0,0.36363636363636365,5
提供,45,19.0,26.488888888888887,2.0,5.333333333333333,0.0,0.4444444444444444,12
提升,36,14.0,26.02777777777778,1.0,3.7222222222222223,0.0,0.3611111111111111,14
提早,11,28.0,63.45454545454545,2.0,10.272727272727273,0.0,1.0,5
提醒,24,18.0,30.125,0.5,3.125,0.5,1.0833333333333333,14
搜尋,19,13.0,16.263157894736842,2.0,2.210526315789474,0.0,0.5789473684210527,6
搭配,17,10.0,49.76470588235294,2.0,4.117647058823529,0.0,1.8235294117647058,13
擁有,18,35.5,48.833333333333336,1.5,4.777777777777778,0.0,0.5555555555555556,7
擔心,13,21.0,35.23076923076923,2.0,3.230769230769231,0.0,0.5384615384615384,9
支持,86,15.0,52.27906976744186,1.0,16.569767441860463,0.0,0.9651162790697675,15
收入,47,5.0,34.297872340425535,0.0,2.6595744680851063,0.0,0.5957446808510638,8
收到,26,19.0,55.42307692307692,2.5,8.76923076923077,0.0,0.8461538461538461,13
改變,40,16.0,22.65,2.0,3.45,0.0,0.4,12
攻略,11,4.0,5.363636363636363,1.0,1.2727272727272727,0.0,0.36363636363636365,3
放在,22,21.0,68.86363636363636,3.0,5.954545454545454,0.0,2.3181818181818183,13
放大,17,28.0,193.2941176470588,4.0,9.0,1.0,2.176470588235294,9
放棄,18,61.0,80.94444444444444,28.5,46.0,0.5,1.4444444444444444,12
