words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators
單一顏色,12,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1
單位,12,1.0,2.3333333333333335,0.0,0.4166666666666667,0.0,0.0,3
固態,16,0.5,0.75,0.0,0.0,0.0,0.375,1
圖案,10,0.0,5.4,0.0,0.4,0.0,0.1,3
團隊,11,2.0,2.090909090909091,0.0,0.18181818181818182,0.0,0.0,5
執行,13,1.0,8.615384615384615,0.0,5.0,0.0,0.07692307692307693,4
堅持,26,5.5,12.846153846153847,0.5,8.884615384615385,0.0,0.23076923076923078,13
增加,12,6.0,23.333333333333332,4.0,7.166666666666667,0.0,0.5,8
增加收入,23,1.0,1.173913043478261,0.0,0.17391304347826086,0.0,0.0,1
壓力,12,3.0,9.0,0.5,2.0833333333333335,0.0,0.08333333333333333,8
